date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/13/2021,ARKF,"SQUARE INC - A",SQ,852234103,"1,367,281","$324,606,182.21",10.11%
10/13/2021,ARKF,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"828,485","$206,566,165.05",6.43%
10/13/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,"2,164,867","$199,449,196.71",6.21%
10/13/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,"144,590","$196,240,439.80",6.11%
10/13/2021,ARKF,"SEA LTD-ADR",SE,81141R100,"459,284","$149,221,371.60",4.65%
10/13/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,"555,197","$142,047,152.45",4.42%
10/13/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,"5,073,096","$117,949,482.00",3.67%
10/13/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,"342,135","$111,751,555.05",3.48%
10/13/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,"39,813","$110,883,734.47",3.45%
10/13/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,"729,715","$96,088,871.20",2.99%
10/13/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,"64,384","$94,081,120.00",2.93%
10/13/2021,ARKF,"UIPATH INC - CLASS A",PATH,90364P105,"1,854,917","$89,202,958.53",2.78%
10/13/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,"1,106,266","$86,742,317.06",2.70%
10/13/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,"1,555,066","$79,945,943.06",2.49%
10/13/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,"478,981","$76,306,463.11",2.38%
10/13/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,"721,524","$73,703,676.60",2.30%
10/13/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,"285,688","$72,761,876.72",2.27%
